id;answer_text;question_id;insert_timestamp;form_token
1;Sí;26;2018-07-27 13:07:36.243025;2018-07-27 13:07:36_337.4816585788285
2;Tal vez;23;2018-07-27 13:07:36.249524;2018-07-27 13:07:36_337.4816585788285
3;2.0 DHA;8;2018-07-27 13:07:36.252412;2018-07-27 13:07:36_337.4816585788285
4;Otros;9;2018-07-27 13:07:36.254652;2018-07-27 13:07:36_337.4816585788285
5;Paypal;27;2018-07-27 13:07:36.257148;2018-07-27 13:07:36_337.4816585788285
6;2;17;2018-07-27 13:07:36.260045;2018-07-27 13:07:36_337.4816585788285
7;Tal vez;24;2018-07-27 13:07:36.262735;2018-07-27 13:07:36_337.4816585788285
8;No;12;2018-07-27 13:07:36.265029;2018-07-27 13:07:36_337.4816585788285
9;Sí;6;2018-07-27 13:07:36.267367;2018-07-27 13:07:36_337.4816585788285
10;08029;4;2018-07-27 13:07:36.269674;2018-07-27 13:07:36_337.4816585788285
11;No me importa si eso implica conseguir un precio más barato.;20;2018-07-27 13:07:36.271943;2018-07-27 13:07:36_337.4816585788285
12;No;10;2018-07-27 13:07:36.274712;2018-07-27 13:07:36_337.4816585788285
13;Entre 15 y 450 kW;2;2018-07-27 13:07:36.277514;2018-07-27 13:07:36_337.4816585788285
14;3;22;2018-07-27 13:07:36.279889;2018-07-27 13:07:36_337.4816585788285
15;3;21;2018-07-27 13:07:36.282298;2018-07-27 13:07:36_337.4816585788285
16;120;1;2018-07-27 13:07:36.284661;2018-07-27 13:07:36_337.4816585788285
17;Domiciliada;5;2018-07-27 13:07:36.286889;2018-07-27 13:07:36_337.4816585788285
18;1 (cobertura mínima);13;2018-07-27 13:07:36.288974;2018-07-27 13:07:36_337.4816585788285
19;Precio fijo anual;3;2018-07-27 13:07:36.292660;2018-07-27 13:07:36_337.4816585788285
20;No;14;2018-07-27 13:07:36.295084;2018-07-27 13:07:36_337.4816585788285
21;Hogar;7;2018-07-27 13:07:36.297456;2018-07-27 13:07:36_337.4816585788285
22;2;25;2018-07-27 13:07:36.299928;2018-07-27 13:07:36_337.4816585788285
23;Sí;11;2018-07-27 13:07:36.302514;2018-07-27 13:07:36_337.4816585788285
24;5 (Lo más importante);18;2018-07-27 13:07:36.304734;2018-07-27 13:07:36_337.4816585788285
25;No;15;2018-07-27 13:07:36.307160;2018-07-27 13:07:36_337.4816585788285
26;4;16;2018-07-27 13:07:36.309810;2018-07-27 13:07:36_337.4816585788285
27;4;19;2018-07-27 13:07:36.312007;2018-07-27 13:07:36_337.4816585788285
28;Sí;26;2018-07-27 13:18:31.802138;2018-07-27 13:18:31_878.5313409167634
29;No;23;2018-07-27 13:18:31.808699;2018-07-27 13:18:31_878.5313409167634
30;2.0 DHA;8;2018-07-27 13:18:31.811312;2018-07-27 13:18:31_878.5313409167634
31;Otros;9;2018-07-27 13:18:31.813453;2018-07-27 13:18:31_878.5313409167634
32;Bancaria;27;2018-07-27 13:18:31.816169;2018-07-27 13:18:31_878.5313409167634
33;3;17;2018-07-27 13:18:31.818926;2018-07-27 13:18:31_878.5313409167634
34;Sí;24;2018-07-27 13:18:31.821156;2018-07-27 13:18:31_878.5313409167634
35;No;12;2018-07-27 13:18:31.823283;2018-07-27 13:18:31_878.5313409167634
36;No se;6;2018-07-27 13:18:31.825592;2018-07-27 13:18:31_878.5313409167634
37;08028;4;2018-07-27 13:18:31.827665;2018-07-27 13:18:31_878.5313409167634
38;No me importa si eso implica conseguir un precio más barato.;20;2018-07-27 13:18:31.829710;2018-07-27 13:18:31_878.5313409167634
39;Tal vez;10;2018-07-27 13:18:31.832340;2018-07-27 13:18:31_878.5313409167634
40;Menor de 10 kW;2;2018-07-27 13:18:31.834860;2018-07-27 13:18:31_878.5313409167634
41;2;22;2018-07-27 13:18:31.837094;2018-07-27 13:18:31_878.5313409167634
42;3;21;2018-07-27 13:18:31.839185;2018-07-27 13:18:31_878.5313409167634
43;355;1;2018-07-27 13:18:31.841371;2018-07-27 13:18:31_878.5313409167634
44;Domiciliada;5;2018-07-27 13:18:31.843426;2018-07-27 13:18:31_878.5313409167634
45;3;13;2018-07-27 13:18:31.845537;2018-07-27 13:18:31_878.5313409167634
