"Solution cost";"Subservices included";"Description"
"2018-08-06 16:24:57_491.5900884834002";"Cusomer form id";"Product for customer with this id"
"2.0 DHA";"Tariff";"Tariff parameter"
"Menor de 10 kW";"Power";"Power parameter"
"653";"Consumption";"Consumption parameter"
"Domestico";"Customer type";"Customer type parameter"
"12";"Funding duration";"Funding duration parameter"
"4";"Green energy interest";"Green energy_interest parameter"
"3";"Battery interest";"battery interest parameter"
"4";"Smarthome interest";"Smarthome interest parameter"
"5";"Vehicle interest";"Vehicle interest parameter"
"2";"Business manager interest";"Business manager interest parameter"
"2";"Maintenance interest";"Maintenance interest parameter"
"1";"Insurance interest";"Insurance interest parameter"
"268,183";"All subservices";"Cost of the product with all the subservices included without considering interest (real value)"
"193,079";"All subservices with interest normalization";"Cost of the product with all the subservices included but normalizing price with interest (maximum value for the customer)"
"2076,35";"Energy supply";"Main cost: energy supply (monthly)"
"1,131";"{'insurance_maintenance_cost': 0.136219397909008, 'interest_green_energy_cost': 0.5788468736289065, 'interest_bm_cost': 0.4157359777503644}";"Subservice feasible combination (monthly)"
"192,5";"{'insurance_maintenance_cost': 0.136219397909008, 'interest_smarthome_cost': 191.9478672206655, 'interest_bm_cost': 0.4157359777503644}";"Subservice feasible combination (monthly)"
"192,663";"{'insurance_maintenance_cost': 0.136219397909008, 'interest_green_energy_cost': 0.5788468736289065, 'interest_smarthome_cost': 191.9478672206655}";"Subservice feasible combination (monthly)"
"192,942";"{'interest_green_energy_cost': 0.5788468736289065, 'interest_smarthome_cost': 191.9478672206655, 'interest_bm_cost': 0.4157359777503644}";"Subservice feasible combination (monthly)"
