"Solution cost";"Subservices included";"Description"
"2018-08-06 16:24:57_491.5900884834002";"Cusomer form id";"Product for customer with this id"
"2.0 DHA";"Tariff";"Tariff parameter"
"Menor de 10 kW";"Power";"Power parameter"
"60";"Consumption";"Consumption parameter"
"Domestico";"Customer type";"Customer type parameter"
"12";"Funding duration";"Funding duration parameter"
"4";"Green energy interest";"Green energy_interest parameter"
"3";"Battery interest";"battery interest parameter"
"4";"Smarthome interest";"Smarthome interest parameter"
"5";"Vehicle interest";"Vehicle interest parameter"
"2";"Business manager interest";"Business manager interest parameter"
"2";"Maintenance interest";"Maintenance interest parameter"
"1";"Insurance interest";"Insurance interest parameter"
"668,401";"All subservices";"Cost of the product with all the subservices included without considering interest (real value)"
"473,049";"All subservices with interest normalization";"Cost of the product with all the subservices included but normalizing price with interest (maximum value for the customer)"
"196,54";"Energy supply";"Main cost: energy supply (monthly)"
"1,266";"{'insurance_maintenance_cost': 0.33281652856385247, 'interest_green_energy_cost': 0.5611806907516902, 'interest_bm_cost': 0.37219030979862416}";"Subservice feasible combination (monthly)"
"472,488";"{'insurance_maintenance_cost': 0.33281652856385247, 'interest_smarthome_cost': 471.78281472424226, 'interest_bm_cost': 0.37219030979862416}";"Subservice feasible combination (monthly)"
"472,677";"{'insurance_maintenance_cost': 0.33281652856385247, 'interest_green_energy_cost': 0.5611806907516902, 'interest_smarthome_cost': 471.78281472424226}";"Subservice feasible combination (monthly)"
"472,716";"{'interest_green_energy_cost': 0.5611806907516902, 'interest_smarthome_cost': 471.78281472424226, 'interest_bm_cost': 0.37219030979862416}";"Subservice feasible combination (monthly)"
